,DS,Data,601-T,602-T,603-T,604-T,701-T,702-T,703-T,704-T,801-M,802-T,803-T,804-T,901-M,902-M,903-M,904-T,905-T,1001-M,1002-M,1003-T,1004-T,1005-M,1006-T,2001-M,2002-M,2003-M,2004-M,2005-M,2006-T,3001-M,3002-M,3003-M,3004-M,3005-T,NEJA I-01,NEJA I-02,NEJA II-01,NEJA II-02,NEJA III-01,NEJA III-02,NEJA IV-01,NEJA IV-02
41,qua,2022-04-06,29.0,26.0,28.0,19.0,40.0,37.0,33.0,32.0,23.0,31.0,34.0,37.0,30.0,20.0,22.0,28.0,27.0,33.0,28.0,30.0,35.0,26.0,27.0,24.0,,23.0,19.0,18.0,17.0,23.0,22.0,25.0,20.0,16.0,,,,,,,,
42,qui,2022-04-07,32.0,28.0,25.0,19.0,38.0,34.0,34.0,32.0,35.0,36.0,37.0,36.0,39.0,34.0,32.0,37.0,31.0,40.0,34.0,41.0,30.0,32.0,26.0,33.0,30.0,33.0,30.0,25.0,21.0,36.0,35.0,36.0,33.0,18.0,,,,,,,,
43,sex,2022-04-08,30.0,31.0,29.0,20.0,38.0,38.0,35.0,35.0,33.0,37.0,34.0,38.0,39.0,31.0,37.0,37.0,32.0,37.0,36.0,39.0,30.0,32.0,27.0,33.0,33.0,32.0,33.0,25.0,21.0,34.0,32.0,,36.0,12.0,,,,,,,,
44,seg,2022-04-11,28.0,28.0,24.0,18.0,39.0,39.0,30.0,32.0,33.0,35.0,36.0,36.0,34.0,27.0,35.0,35.0,31.0,38.0,31.0,30.0,25.0,23.0,30.0,24.0,28.0,32.0,30.0,24.0,20.0,31.0,33.0,34.0,27.0,16.0,,,,,,,,
45,ter,2022-04-12,31.0,32.0,27.0,21.0,40.0,36.0,34.0,26.0,35.0,36.0,36.0,38.0,37.0,32.0,37.0,37.0,32.0,35.0,35.0,38.0,29.0,32.0,34.0,21.0,25.0,30.0,28.0,25.0,16.0,33.0,36.0,32.0,35.0,15.0,,,,,,,,
46,qua,2022-04-13,29.0,29.0,31.0,21.0,33.0,33.0,33.0,29.0,35.0,34.0,37.0,38.0,37.0,28.0,32.0,36.0,29.0,36.0,33.0,37.0,29.0,33.0,32.0,25.0,24.0,29.0,33.0,22.0,23.0,36.0,36.0,39.0,35.0,10.0,,,,,,,,
47,qui,2022-04-14,,,28.0,,,,,,,,,36.0,,,,,,,,,34.0,,,,,,,,,,,,,,,,,,,,,
48,seg,2022-04-18,29.0,31.0,28.0,17.0,31.0,34.0,29.0,25.0,29.0,27.0,24.0,28.0,31.0,20.0,32.0,34.0,29.0,36.0,31.0,,34.0,27.0,26.0,13.0,23.0,18.0,25.0,20.0,15.0,28.0,21.0,33.0,24.0,13.0,,,,,,,,
49,ter,2022-04-19,27.0,27.0,16.0,15.0,34.0,28.0,21.0,26.0,30.0,30.0,25.0,28.0,35.0,25.0,30.0,19.0,20.0,31.0,21.0,26.0,,29.0,22.0,15.0,20.0,27.0,29.0,25.0,15.0,14.0,13.0,19.0,26.0,10.0,,,,,,,,
50,qua,2022-04-20,,,,,35.0,,,,,,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,seg,2022-04-25,26.0,28.0,28.0,19.0,35.0,36.0,22.0,30.0,31.0,31.0,33.0,,29.0,25.0,,31.0,23.0,23.0,29.0,27.0,29.0,,27.0,21.0,20.0,21.0,26.0,21.0,18.0,23.0,23.0,24.0,25.0,12.0,,,,,,,,
52,ter,2022-04-26,32.0,27.0,32.0,16.0,,33.0,27.0,32.0,33.0,37.0,36.0,34.0,36.0,27.0,35.0,33.0,31.0,37.0,29.0,33.0,30.0,30.0,29.0,29.0,28.0,26.0,27.0,20.0,21.0,32.0,33.0,29.0,30.0,14.0,,,,,,,,
53,qua,2022-04-27,32.0,22.0,32.0,18.0,40.0,40.0,33.0,31.0,33.0,34.0,31.0,36.0,37.0,30.0,34.0,31.0,30.0,37.0,29.0,30.0,33.0,25.0,32.0,31.0,23.0,31.0,26.0,15.0,23.0,29.0,36.0,27.0,,11.0,,,,,,,,
54,qui,2022-04-28,29.0,29.0,30.0,20.0,34.0,32.0,35.0,33.0,34.0,34.0,33.0,34.0,34.0,,32.0,34.0,27.0,38.0,29.0,33.0,30.0,29.0,30.0,28.0,24.0,28.0,31.0,19.0,23.0,31.0,35.0,27.0,28.0,11.0,,,,,,,,
55,sex,2022-04-29,27.0,19.0,21.0,16.0,29.0,33.0,32.0,26.0,,32.0,33.0,36.0,35.0,24.0,32.0,31.0,28.0,26.0,31.0,,32.0,28.0,23.0,31.0,27.0,,28.0,18.0,14.0,31.0,35.0,33.0,24.0,13.0,,,,,,,,
56,seg,2022-05-02,22.0,23.0,24.0,16.0,35.0,29.0,26.0,,39.0,27.0,35.0,32.0,40.0,6.0,,30.0,,22.0,30.0,26.0,12.0,38.0,31.0,27.0,26.0,37.0,20.0,19.0,18.0,23.0,37.0,40.0,40.0,13.0,,,,,,,,
57,qua,2022-05-04,,,,,,,,,,,,,,,,,,32.0,,,35.0,36.0,,,22.0,,,,,10.0,,,,,,,,,,,,
58,qui,2022-05-05,29.0,25.0,30.0,18.0,36.0,33.0,31.0,32.0,,35.0,33.0,34.0,36.0,29.0,29.0,33.0,30.0,37.0,33.0,34.0,,33.0,32.0,23.0,26.0,,32.0,23.0,19.0,,20.0,29.0,29.0,13.0,,,,,,,,
59,sex,2022-05-06,23.0,30.0,28.0,17.0,31.0,34.0,27.0,23.0,,31.0,32.0,30.0,37.0,26.0,36.0,12.0,29.0,33.0,26.0,,,20.0,27.0,27.0,23.0,,25.0,17.0,14.0,24.0,24.0,23.0,,8.0,,,,,,,,
60,seg,2022-05-09,25.0,28.0,26.0,15.0,33.0,33.0,25.0,23.0,33.0,32.0,35.0,34.0,31.0,25.0,24.0,31.0,28.0,29.0,35.0,22.0,27.0,27.0,27.0,26.0,23.0,26.0,24.0,19.0,22.0,17.0,28.0,29.0,27.0,17.0,,,,,,,,
61,ter,2022-05-10,15.0,25.0,25.0,20.0,30.0,35.0,36.0,23.0,31.0,33.0,26.0,36.0,34.0,29.0,34.0,31.0,32.0,39.0,31.0,26.0,33.0,31.0,32.0,25.0,24.0,31.0,31.0,23.0,22.0,31.0,30.0,32.0,26.0,18.0,,,,,,,,
62,qua,2022-05-11,28.0,27.0,28.0,19.0,38.0,34.0,30.0,33.0,34.0,36.0,33.0,36.0,36.0,33.0,33.0,35.0,32.0,36.0,32.0,36.0,33.0,28.0,27.0,28.0,26.0,33.0,25.0,17.0,20.0,27.0,31.0,28.0,31.0,19.0,,,,,,,,
63,qui,2022-05-12,31.0,27.0,30.0,18.0,36.0,34.0,35.0,34.0,,33.0,37.0,24.0,37.0,30.0,30.0,36.0,29.0,37.0,37.0,37.0,33.0,32.0,30.0,29.0,25.0,28.0,33.0,21.0,19.0,28.0,31.0,34.0,33.0,16.0,,,,,,,,
64,sex,2022-05-13,23.0,23.0,16.0,19.0,33.0,35.0,27.0,28.0,,31.0,33.0,33.0,34.0,26.0,31.0,30.0,29.0,33.0,26.0,33.0,33.0,27.0,18.0,24.0,26.0,27.0,32.0,16.0,11.0,23.0,28.0,29.0,22.0,11.0,,,,,,,,
65,seg,2022-05-16,21.0,21.0,27.0,20.0,35.0,35.0,30.0,32.0,36.0,30.0,38.0,32.0,37.0,30.0,32.0,35.0,30.0,34.0,32.0,,33.0,24.0,26.0,23.0,24.0,29.0,30.0,24.0,18.0,28.0,32.0,32.0,25.0,18.0,,,,,,,,
66,ter,2022-05-17,30.0,25.0,31.0,17.0,35.0,37.0,35.0,,34.0,35.0,38.0,34.0,38.0,33.0,31.0,34.0,33.0,36.0,36.0,34.0,30.0,31.0,31.0,19.0,25.0,33.0,29.0,26.0,17.0,29.0,23.0,32.0,32.0,15.0,,,,,,,,
67,qua,2022-05-18,30.0,26.0,24.0,18.0,40.0,41.0,34.0,30.0,32.0,37.0,33.0,32.0,35.0,30.0,31.0,35.0,29.0,32.0,30.0,,26.0,33.0,33.0,23.0,31.0,30.0,28.0,16.0,17.0,25.0,31.0,29.0,13.0,18.0,,,,,,,,
68,qui,2022-05-19,29.0,26.0,,17.0,33.0,34.0,33.0,30.0,31.0,37.0,36.0,32.0,35.0,23.0,30.0,34.0,31.0,35.0,39.0,30.0,25.0,29.0,25.0,,18.0,34.0,25.0,21.0,16.0,20.0,26.0,25.0,31.0,12.0,,,,,,,,
69,sex,2022-05-20,28.0,28.0,27.0,18.0,36.0,31.0,29.0,22.0,,28.0,32.0,34.0,36.0,25.0,30.0,32.0,29.0,35.0,25.0,,30.0,31.0,20.0,,16.0,14.0,31.0,25.0,14.0,23.0,21.0,23.0,21.0,17.0,,,,,,,,
70,seg,2022-05-23,24.0,20.0,25.0,20.0,33.0,,32.0,29.0,32.0,34.0,34.0,38.0,35.0,26.0,28.0,27.0,27.0,32.0,32.0,,35.0,26.0,28.0,27.0,17.0,25.0,30.0,24.0,18.0,27.0,33.0,33.0,22.0,16.0,,,,,,,,
71,ter,2022-05-24,32.0,30.0,28.0,18.0,37.0,37.0,34.0,30.0,32.0,37.0,30.0,37.0,38.0,33.0,35.0,32.0,33.0,39.0,35.0,37.0,29.0,32.0,31.0,26.0,23.0,34.0,33.0,25.0,23.0,31.0,25.0,29.0,28.0,15.0,,,,,,,,
72,qua,2022-05-25,32.0,26.0,32.0,19.0,35.0,32.0,35.0,31.0,32.0,28.0,32.0,35.0,,31.0,33.0,32.0,30.0,35.0,,31.0,36.0,30.0,28.0,28.0,26.0,29.0,33.0,26.0,19.0,27.0,25.0,34.0,26.0,13.0,,,,,,,,
73,qui,2022-05-26,29.0,27.0,28.0,19.0,35.0,40.0,27.0,28.0,36.0,35.0,39.0,36.0,37.0,30.0,29.0,34.0,30.0,35.0,36.0,32.0,33.0,31.0,32.0,25.0,27.0,29.0,29.0,24.0,24.0,,32.0,28.0,26.0,8.0,,,,,,,,
74,sex,2022-05-27,22.0,25.0,26.0,20.0,38.0,,31.0,24.0,,32.0,29.0,35.0,34.0,34.0,31.0,34.0,28.0,28.0,25.0,,32.0,31.0,32.0,27.0,26.0,,28.0,25.0,15.0,31.0,28.0,29.0,24.0,14.0,,,,,,,,
75,seg,2022-05-30,27.0,31.0,23.0,18.0,35.0,37.0,26.0,28.0,29.0,32.0,32.0,33.0,35.0,30.0,23.0,33.0,35.0,34.0,29.0,29.0,30.0,28.0,26.0,25.0,25.0,29.0,28.0,26.0,17.0,26.0,25.0,23.0,24.0,16.0,,,,,,,,
76,ter,2022-05-31,32.0,26.0,27.0,17.0,39.0,38.0,36.0,26.0,33.0,35.0,32.0,36.0,38.0,31.0,30.0,36.0,31.0,42.0,34.0,34.0,28.0,34.0,28.0,30.0,27.0,31.0,32.0,25.0,19.0,33.0,32.0,29.0,26.0,17.0,,,,,,,,
77,qua,2022-06-01,31.0,29.0,33.0,19.0,39.0,36.0,32.0,26.0,32.0,36.0,33.0,33.0,35.0,29.0,31.0,22.0,29.0,37.0,36.0,37.0,32.0,34.0,30.0,30.0,30.0,29.0,33.0,24.0,17.0,29.0,29.0,34.0,20.0,13.0,,,,,,,,
